theme,value
Ресторан не увидел заказ. Ошибки отправки нет,"1,2"
Реферальная программа,"6,29"
Робот не перестаёт звонить,"1,4"
Ровер,"1,47"
Связь с клиентом,"2,28"
Скидки,
Скидки месяца,"1,88"
Слоты по пожеланиям,"3,89"
Списали не с того счета,"1,57"
Статистика заказов,"1,55"
Стоимость доставки,"1,99"
Стоимость заказа,"2,95"
Тестовый заказ. Ошибка отправки,"1,13"
Типы передвижения,"1,01"
Уведомления,"2,01"
Фото профиля,"0,84"
Функционал,"2,87"
Цена заказа,"3,43"
Чаевые,"2,33"
Чат с поддержкой,"2,69"
Чеки по чужим заказам,"2,51"
Яндекс Байк,"1,73"
Яндекс.Плюс,"2,33"
